record_id,country,region,district,crop,planting_date,farm_size_hectares,rainfall_mm,yield_kg_per_hectare,estimated_production_kg,actual_production_kg,input_cost_ghs,crop_condition
1,Ghana,Northern,Tamale,Maize,2026-05-10,2.5,18,420,1050.0,980,120,Good
2,Ghana,Northern,Savelugu,Rice,2026-05-12,3.0,22,510,1530.0,1400,180,Good
3,Ghana,Upper East,Bolgatanga,Groundnut,2026-05-15,1.8,14,360,648.0,590,95,Moderate
4,Ghana,Upper West,Wa,Sorghum,2026-05-18,2.2,16,390,858.0,800,110,Good
5,Ghana,Ashanti,Kumasi,Cassava,2026-05-20,4.0,25,620,2480.0,2300,210,Good
6,Ghana,Bono,Sunyani,Maize,2026-05-22,2.7,19,430,1161.0,1080,130,Good
7,Ghana,Savannah,Damongo,Soybean,2026-05-25,2.0,17,470,940.0,850,150,Moderate
8,Ghana,Northern,Kumbungu,Maize,2026-05-28,3.2,20,440,1408.0,1290,165,Good
9,Ghana,Upper East,Navrongo,Rice,2026-06-02,2.4,24,520,1248.0,1120,190,Moderate
10,Ghana,Volta,Ho,Cassava,2026-06-05,3.5,23,600,2100.0,1980,175,Good
11,Ghana,Oti,Dambai,Yam,2026-06-08,2.8,21,700,1960.0,1810,230,Good
12,Ghana,Eastern,Koforidua,Plantain,2026-06-10,2.1,28,550,1155.0,1080,140,Good
13,Ghana,Northern,Yendi,Maize,2026-06-12,2.9,15,415,1203.5,1090,145,Moderate
14,Ghana,Savannah,Bole,Groundnut,2026-06-15,1.6,13,370,592.0,520,100,Poor
15,Ghana,Bono East,Techiman,Cassava,2026-06-18,3.8,26,610,2318.0,2200,200,Good
16,Ghana,Ahafo,Goaso,Cocoa,2026-06-20,2.3,32,850,1955.0,1870,260,Good
17,Ghana,Western North,Sefwi Wiawso,Cocoa,2026-06-22,2.6,30,870,2262.0,2110,285,Good
18,Ghana,Central,Cape Coast,Vegetables,2026-06-25,1.4,20,480,672.0,610,90,Moderate
19,Ghana,Greater Accra,Dodowa,Tomato,2026-06-28,1.2,18,520,624.0,540,85,Poor
20,Ghana,Northern,Karaga,Sorghum,2026-07-01,2.5,12,395,987.5,900,125,Moderate
