ID,Item,UseCase,StartedProductionAt,ProductionCost,UpgradeCount,SalesScore,IsFragile,EmailOfManager,YearsOfProduction,LastQualityCheck,Madein
1,Item_1,Tools,2024-04-01 21:41:13.135464,800,,2.89,True,Manager_1@example.com,8,2026-05-22 21:41:13.136051,USA
2,Item_2,Computer,2024-11-05 21:41:13.135481,9,4,1.69,,Manager_2@example.com,13,2025-11-26 21:41:13.136057,Russia
3,Item_3,Supplements,2024-07-24 21:41:13.135486,89,7,2.74,True,Manager_3@example.com,0,2025-02-18 21:41:13.136062,Ghana
4,Item_4,Food,2024-11-26 21:41:13.135490,9,0,2.59,,Manager_4@example.com,18,2026-02-07 21:41:13.136066,France
5,Item_5,Tools,2024-11-09 21:41:13.135494,12,4,3.46,True,Manager_5@example.com,12,2025-02-06 21:41:13.136069,USA
6,Item_6,Toys,,10,2,3.54,False,Manager_6@example.com,12,2026-05-09 21:41:13.136073,USA
7,Item_7,Tools,,33,0,1.18,True,Manager_7@example.com,3,2025-11-16 21:41:13.136076,China
8,Item_8,Supplements,,89,3,2.5,,Manager_8@example.com,0,2026-04-28 21:41:13.136080,UK
9,Item_9,Food,,6,4,3.5,True,Manager_9@example.com,16,2025-03-22 21:41:13.136083,Germany
10,Item_10,Computer,,33,6,3.01,True,Manager_10@example.com,7,2025-09-06 21:41:13.136087,South Africa
11,Item_11,Supplements,,10,0,4.43,True,Manager_11@example.com,1,2025-10-18 21:41:13.136090,Germany
12,Item_12,Supplements,,376,2,3.63,False,Manager_12@example.com,7,2026-03-12 21:41:13.136093,France
13,Item_13,Toys,,7,1,1.65,True,Manager_13@example.com,6,2025-02-17 21:41:13.136097,Russia
14,Item_14,Packaging,,12,8,1.28,False,Manager_14@example.com,1,2026-01-31 21:41:13.136100,Germany
15,Item_15,Food,,12,9,3.57,False,Manager_15@example.com,2,2025-08-10 21:41:13.136103,Ghana
16,Item_16,Electronics,,6,,1.11,True,Manager_16@example.com,17,2026-05-12 21:41:13.136107,Germany
17,Item_17,Supplements,2025-01-16 21:41:13.135545,89,9,3.34,True,Manager_17@example.com,11,2026-01-12 21:41:13.136110,France
18,Item_18,Packaging,2025-06-23 21:41:13.135552,,2,4.76,True,Manager_18@example.com,0,2026-05-24 21:41:13.136113,South Africa
19,Item_19,Electronics,2025-02-18 21:41:13.135570,292,7,3.3,,Manager_19@example.com,11,2025-11-06 21:41:13.136117,Germany
20,Item_20,Food,2025-10-18 21:41:13.135573,800,7,2.55,True,Manager_20@example.com,4,2026-05-12 21:41:13.136120,Ghana
21,Item_21,Kitchen,2025-11-28 21:41:13.135577,89,1,3.57,False,Manager_21@example.com,16,2026-03-30 21:41:13.136123,China
22,Item_22,Packaging,2025-10-24 21:41:13.135580,7,5,2.83,True,Manager_22@example.com,15,2025-05-08 21:41:13.136129,Russia
23,Item_23,,2025-05-17 21:41:13.135583,292,6,3.18,,Manager_23@example.com,14,2026-03-31 21:41:13.136132,France
24,Item_24,Kitchen,2025-05-25 21:41:13.135587,12,1,4.77,True,Manager_24@example.com,14,2025-10-16 21:41:13.136136,China
25,Item_25,Toys,2025-08-27 21:41:13.135590,9,9,2.54,,Manager_25@example.com,4,2026-02-17 21:41:13.136139,China
26,Item_26,Tools,2023-10-22 21:41:13.135593,7,1,4.84,,Manager_26@example.com,13,2026-01-11 21:41:13.136142,China
27,Item_27,Computer,2024-09-11 21:41:13.135597,10,9,4.62,True,Manager_27@example.com,1,2026-02-15 21:41:13.136146,USA
28,Item_28,,2024-09-16 21:41:13.135600,6,0,1.78,False,Manager_28@example.com,10,2025-10-21 21:41:13.136149,Russia
29,Item_29,Toys,2023-10-07 21:41:13.135604,10,7,1.28,,Manager_29@example.com,18,2026-02-15 21:41:13.136152,South Africa
30,Item_30,Food,2024-05-22 21:41:13.135607,,0,1.4,True,Manager_30@example.com,6,2025-02-21 21:41:13.136156,UK
31,Item_31,Toys,2025-09-20 21:41:13.135611,7,,1.07,True,Manager_31@example.com,5,2026-05-03 21:41:13.136159,Russia
32,Item_32,Tools,2025-06-12 21:41:13.135614,34,5,1.38,False,Manager_32@example.com,1,2026-02-15 21:41:13.136162,USA
33,Item_33,Food,2024-06-26 21:41:13.135617,34,6,3.73,,Manager_33@example.com,5,2025-09-15 21:41:13.136166,UK
34,Item_34,,2025-03-07 21:41:13.135621,376,9,1.28,,Manager_34@example.com,17,2025-04-08 21:41:13.136169,Russia
35,Item_35,Tools,2025-04-21 21:41:13.135624,89,6,2.28,True,Manager_35@example.com,1,2025-06-02 21:41:13.136172,China
36,Item_36,Electronics,2024-08-26 21:41:13.135628,12,9,4.38,True,Manager_36@example.com,17,2025-10-13 21:41:13.136176,France
37,Item_37,Computer,2025-07-23 21:41:13.135631,12,2,1.09,False,Manager_37@example.com,14,2026-03-15 21:41:13.136179,UK
38,Item_38,,2024-07-29 21:41:13.135634,800,1,4.26,False,Manager_38@example.com,18,2026-04-25 21:41:13.136182,Ghana
39,Item_39,Electronics,2025-10-24 21:41:13.135638,800,8,2.13,,Manager_39@example.com,1,2025-04-07 21:41:13.136186,Ghana
40,Item_40,,2024-03-09 21:41:13.135641,800,7,1.47,,Manager_40@example.com,19,2026-02-25 21:41:13.136189,Germany
