record_id,date,industry,region,city,customer_type,customer_age,acquisition_channel,product_or_service,quantity,unit_price_ghs,discount_rate,revenue_ghs,cost_ghs,profit_ghs,customer_satisfaction,returned,payment_status
REC-00001,2025-01-13,Healthcare,Northern,Tamale,Government,25,Website,Basic Plan,12,705.7,0.0,8468.4,4248.0,4220.4,1,False,Paid
REC-00002,2025-01-14,Agriculture,Central,Kasoa,Individual,56,Mobile App,Training Package,9,517.12,0.15,3955.97,2394.24,1561.73,4,False,Paid
REC-00003,2025-06-22,Technology,Ashanti,Obuasi,Individual,31,Phone,Support Package,2,254.55,0.0,509.1,296.71,212.39,1,False,Paid
REC-00004,2025-11-18,Healthcare,Central,Cape Coast,SME,36,Walk-in,Basic Plan,10,2216.49,0.05,21056.65,13973.62,7083.03,2,False,Pending
REC-00005,2025-11-22,Hospitality,Eastern,Koforidua,SME,47,Referral,Training Package,6,427.57,0.05,2437.15,1285.64,1151.51,2,False,Pending
REC-00006,2025-11-24,Retail,Western,Takoradi,Individual,35,Walk-in,Consulting Service,12,1403.45,0.05,15999.33,12189.17,3810.16,3,False,Paid
REC-00007,2025-06-11,Agriculture,Central,Cape Coast,Enterprise,63,Mobile App,Premium Plan,4,1647.21,0.1,5929.96,4609.55,1320.41,5,True,Paid
REC-00008,2025-08-08,Finance,Northern,Yendi,Individual,55,Website,Basic Plan,10,1013.52,0.0,10135.2,8300.84,1834.36,2,False,Pending
REC-00009,2025-07-17,Retail,Central,Cape Coast,Enterprise,22,Walk-in,Basic Plan,7,1499.82,0.1,9448.87,6101.82,3347.05,3,False,Paid
REC-00010,2025-05-15,Hospitality,Western,Takoradi,SME,18,Walk-in,Premium Plan,9,1910.86,0.15,14618.08,11514.26,3103.82,5,True,Paid
REC-00011,2025-09-08,Hospitality,Central,Cape Coast,Individual,38,Mobile App,Support Package,1,301.87,0.05,286.78,222.29,64.49,1,False,Pending
REC-00012,2025-03-06,Manufacturing,Greater Accra,Accra,SME,52,Walk-in,Consulting Service,3,1657.88,0.15,4227.59,2160.71,2066.88,3,False,Refunded
REC-00013,2025-05-07,Education,Western,Takoradi,Individual,25,Website,Training Package,4,183.46,0.0,733.84,489.97,243.87,1,False,Paid
REC-00014,2025-02-06,Finance,Greater Accra,Tema,SME,39,Phone,Consulting Service,9,614.06,0.1,4973.89,2632.52,2341.37,2,False,Paid
REC-00015,2025-07-01,Healthcare,Northern,Tamale,Government,45,Walk-in,Basic Plan,7,1042.48,0.0,7297.36,5101.91,2195.45,2,False,Paid
REC-00016,2025-03-13,Healthcare,Central,Kasoa,Individual,46,Website,Training Package,7,479.13,0.1,3018.52,1637.33,1381.19,5,False,Paid
REC-00017,2025-07-28,Finance,Ashanti,Obuasi,Individual,28,Phone,Enterprise Plan,8,1216.36,0.1,8757.79,6865.27,1892.52,4,False,Pending
REC-00018,2025-10-12,Education,Northern,Tamale,Individual,64,Walk-in,Basic Plan,11,1803.06,0.0,19833.66,10318.7,9514.96,1,True,Pending
REC-00019,2025-03-22,Healthcare,Central,Cape Coast,SME,51,Phone,Basic Plan,1,2402.93,0.0,2402.93,1838.23,564.7,5,False,Refunded
REC-00020,2025-11-14,Technology,Central,Kasoa,SME,20,Walk-in,Premium Plan,2,1062.58,0.15,1806.39,1190.65,615.74,3,False,Paid
REC-00021,2025-06-03,Healthcare,Northern,Tamale,SME,59,Referral,Enterprise Plan,8,807.54,0.0,6460.32,2929.41,3530.91,2,False,Paid
REC-00022,2025-05-26,Retail,Ashanti,Obuasi,Individual,41,Mobile App,Enterprise Plan,3,1109.51,0.15,2829.25,2009.64,819.61,1,False,Refunded
REC-00023,2025-05-25,Hospitality,Ashanti,Obuasi,Enterprise,35,Website,Basic Plan,10,546.31,0.05,5189.94,2726.44,2463.5,4,False,Paid
REC-00024,2025-03-08,Manufacturing,Greater Accra,Accra,Individual,39,Website,Training Package,11,2450.0,0.0,26950.0,19518.68,7431.32,2,True,Paid
REC-00025,2025-10-10,Retail,Eastern,Nkawkaw,SME,55,Mobile App,Training Package,3,1088.72,0.0,3266.16,1842.3,1423.86,1,False,Refunded
REC-00026,2025-03-21,Retail,Western,Takoradi,Enterprise,57,Phone,Training Package,4,2164.9,0.0,8659.6,6720.92,1938.68,2,False,Paid
REC-00027,2025-07-15,Agriculture,Northern,Yendi,Enterprise,24,Mobile App,Premium Plan,1,2150.02,0.0,2150.02,1126.27,1023.75,1,False,Pending
REC-00028,2025-02-05,Technology,Eastern,Koforidua,Individual,35,Walk-in,Premium Plan,5,894.09,0.15,3799.88,2271.88,1528.0,5,False,Paid
