Transaction_ID,Date,Region,Account_Type,Transaction_Type,Category,Amount,Payment_Method,Status,Currency,Month,Day_of_Week
TXN00001,2024-01-01,Western,Business,Expense,Transport,476.84,Mobile Money,Completed,GHS,2024-01,Monday
TXN00002,2024-01-01,Eastern,Personal,Income,Salary,8263.97,Debit Card,Failed,GHS,2024-01,Monday
TXN00003,2024-01-02,Eastern,Personal,Expense,Shopping,421.59,Bank Transfer,Failed,GHS,2024-01,Tuesday
TXN00004,2024-01-03,Ashanti,Personal,Expense,Transport,317.57,Cash,Completed,GHS,2024-01,Wednesday
TXN00005,2024-01-03,Central,Personal,Income,Business,3800.58,Bank Transfer,Completed,GHS,2024-01,Wednesday
TXN00006,2024-01-04,Greater Accra,Personal,Income,Business,5850.38,Bank Transfer,Pending,GHS,2024-01,Thursday
TXN00007,2024-01-05,Western,Business,Income,Salary,6223.47,Bank Transfer,Pending,GHS,2024-01,Friday
TXN00008,2024-01-06,Northern,Personal,Expense,Rent,2002.76,Debit Card,Pending,GHS,2024-01,Saturday
TXN00009,2024-01-06,Northern,Personal,Expense,Shopping,1096.32,Bank Transfer,Failed,GHS,2024-01,Saturday
TXN00010,2024-01-07,Ashanti,Business,Expense,Transport,419.51,Mobile Money,Failed,GHS,2024-01,Sunday
TXN00011,2024-01-08,Greater Accra,Business,Expense,Shopping,180.46,Bank Transfer,Completed,GHS,2024-01,Monday
TXN00012,2024-01-09,Western,Personal,Expense,Entertainment,559.42,Mobile Money,Completed,GHS,2024-01,Tuesday
TXN00013,2024-01-09,Greater Accra,Personal,Expense,Shopping,836.54,Bank Transfer,Failed,GHS,2024-01,Tuesday
TXN00014,2024-01-10,Greater Accra,Personal,Expense,Healthcare,1336.46,Cash,Completed,GHS,2024-01,Wednesday
TXN00015,2024-01-11,Western,Personal,Expense,Rent,2496.13,Mobile Money,Completed,GHS,2024-01,Thursday
TXN00016,2024-01-11,Greater Accra,Personal,Expense,Food,724.95,Mobile Money,Failed,GHS,2024-01,Thursday
TXN00017,2024-01-12,Eastern,Business,Expense,Utilities,553.33,Mobile Money,Completed,GHS,2024-01,Friday
TXN00018,2024-01-13,Greater Accra,Personal,Income,Business,5848.72,Mobile Money,Pending,GHS,2024-01,Saturday
TXN00019,2024-01-14,Ashanti,Personal,Expense,Shopping,993.85,Mobile Money,Completed,GHS,2024-01,Sunday
TXN00020,2024-01-14,Central,Business,Expense,Entertainment,30.35,Bank Transfer,Completed,GHS,2024-01,Sunday
TXN00021,2024-01-15,Eastern,Personal,Expense,Food,166.3,Bank Transfer,Completed,GHS,2024-01,Monday
TXN00022,2024-01-16,Eastern,Personal,Income,Salary,4896.53,Mobile Money,Completed,GHS,2024-01,Tuesday
TXN00023,2024-01-17,Ashanti,Personal,Income,Business,2600.69,Bank Transfer,Failed,GHS,2024-01,Wednesday
TXN00024,2024-01-17,Central,Personal,Expense,Healthcare,1037.02,Cash,Pending,GHS,2024-01,Wednesday
TXN00025,2024-01-18,Northern,Personal,Expense,Transport,143.82,Mobile Money,Completed,GHS,2024-01,Thursday
TXN00026,2024-01-19,Western,Personal,Expense,Education,386.36,Bank Transfer,Pending,GHS,2024-01,Friday
TXN00027,2024-01-19,Western,Personal,Expense,Food,592.03,Bank Transfer,Completed,GHS,2024-01,Friday
TXN00028,2024-01-20,Greater Accra,Personal,Expense,Transport,470.26,Debit Card,Completed,GHS,2024-01,Saturday
TXN00029,2024-01-21,Eastern,Personal,Expense,Shopping,501.4,Cash,Pending,GHS,2024-01,Sunday
TXN00030,2024-01-22,Eastern,Personal,Expense,Food,147.03,Cash,Completed,GHS,2024-01,Monday
TXN00031,2024-01-22,Eastern,Business,Expense,Entertainment,597.26,Debit Card,Pending,GHS,2024-01,Monday
TXN00032,2024-01-23,Eastern,Personal,Income,Salary,8442.05,Mobile Money,Completed,GHS,2024-01,Tuesday
TXN00033,2024-01-24,Ashanti,Personal,Income,Salary,4384.44,Mobile Money,Failed,GHS,2024-01,Wednesday
TXN00034,2024-01-25,Central,Personal,Expense,Entertainment,188.96,Mobile Money,Completed,GHS,2024-01,Thursday
TXN00035,2024-01-25,Western,Personal,Expense,Rent,1006.08,Bank Transfer,Failed,GHS,2024-01,Thursday
TXN00036,2024-01-26,Central,Personal,Income,Business,3606.37,Mobile Money,Completed,GHS,2024-01,Friday
TXN00037,2024-01-27,Western,Business,Expense,Education,633.47,Bank Transfer,Pending,GHS,2024-01,Saturday
TXN00038,2024-01-28,Western,Personal,Income,Business,6489.19,Cash,Failed,GHS,2024-01,Sunday
TXN00039,2024-01-28,Greater Accra,Personal,Income,Business,6781.72,Bank Transfer,Completed,GHS,2024-01,Sunday
