Date,Ticker,Company,Sector,Open,High,Low,Close,Adj_Close,Volume,Daily_Return_Pct,Market_Cap_BUSD,PE_Ratio,Dividend_Yield_Pct,Beta_5Y,RSI_14D,Sentiment_Score,ESG_Score,Analyst_Signal
2023-01-03,AAPL,Apple Inc.,Technology,174.87,177.66,172.47,176.63,173.99,9180463,0.934,2800,29.5,0.55,1.22,74.11,0.508,78,SELL
2023-01-03,AMZN,Amazon.com Inc.,Consumer Discretionary,138.3,143.69,136.95,143.3,141.15,4920707,2.356,1850,42.0,0.0,0.93,68.98,0.384,65,HOLD
2023-01-03,BAC,Bank of America Corp.,Financials,31.91,32.04,31.09,31.49,31.02,2855244,-1.602,270,10.4,2.9,0.74,46.23,0.346,69,HOLD
2023-01-03,JNJ,Johnson & Johnson,Healthcare,159.75,163.98,158.74,163.84,161.38,3148108,2.397,410,15.6,3.1,0.58,55.55,0.369,82,HOLD
2023-01-03,JPM,JPMorgan Chase & Co.,Financials,155.99,157.49,155.16,156.52,154.17,4084120,0.98,540,11.8,2.45,0.65,69.49,0.62,71,HOLD
2023-01-03,MSFT,Microsoft Corp.,Technology,340.77,346.11,338.55,346.04,340.85,5946290,1.777,2600,33.2,0.72,0.9,52.14,0.65,85,HOLD
2023-01-03,NVDA,NVIDIA Corp.,Technology,459.04,493.42,454.25,486.82,479.51,6186284,5.83,2100,65.4,0.08,0.89,46.81,0.409,74,HOLD
2023-01-03,PFE,Pfizer Inc.,Healthcare,30.06,30.34,29.69,30.08,29.62,4818333,0.252,170,14.1,5.4,1.01,54.33,0.502,80,HOLD
2023-01-03,TSLA,Tesla Inc.,Consumer Discretionary,236.79,258.75,228.39,250.11,246.35,5121638,4.21,780,72.3,0.0,0.43,52.97,0.583,62,HOLD
2023-01-03,XOM,Exxon Mobil Corp.,Energy,104.93,106.22,103.63,105.18,103.61,803465,0.176,440,12.2,3.65,0.87,58.56,0.512,58,HOLD
2023-01-04,AAPL,Apple Inc.,Technology,176.13,177.04,173.4,174.86,172.24,856078,-1.006,2800,29.5,0.55,0.87,63.43,0.721,78,HOLD
2023-01-04,AMZN,Amazon.com Inc.,Consumer Discretionary,141.51,147.23,140.11,146.41,144.21,8559894,2.17,1850,42.0,0.0,0.7,42.18,0.451,65,BUY
2023-01-04,BAC,Bank of America Corp.,Financials,31.37,31.49,30.37,30.44,29.99,2928912,-3.317,270,10.4,2.9,0.92,42.78,0.76,69,BUY
2023-01-04,JNJ,Johnson & Johnson,Healthcare,163.61,164.91,163.16,164.58,162.11,5466519,0.452,410,15.6,3.1,1.08,47.68,0.036,82,HOLD
2023-01-04,JPM,JPMorgan Chase & Co.,Financials,156.16,160.62,154.51,158.79,156.41,5630416,1.451,540,11.8,2.45,0.79,63.95,0.534,71,HOLD
2023-01-04,MSFT,Microsoft Corp.,Technology,344.4,345.79,343.97,344.12,338.96,1476627,-0.555,2600,33.2,0.72,1.14,11.56,0.434,85,BUY
2023-01-04,NVDA,NVIDIA Corp.,Technology,486.96,488.69,462.06,465.63,458.65,14045597,-4.352,2100,65.4,0.08,1.19,67.52,0.474,74,HOLD
2023-01-04,PFE,Pfizer Inc.,Healthcare,30.25,30.33,29.54,29.99,29.54,3736749,-0.271,170,14.1,5.4,0.94,50.15,0.579,80,HOLD
2023-01-04,TSLA,Tesla Inc.,Consumer Discretionary,248.98,261.02,244.87,255.97,252.13,4634455,2.343,780,72.3,0.0,0.69,31.36,0.323,62,BUY
2023-01-04,XOM,Exxon Mobil Corp.,Energy,105.63,106.08,104.39,105.61,104.03,5532511,0.404,440,12.2,3.65,0.49,65.74,0.535,58,HOLD
2023-01-05,AAPL,Apple Inc.,Technology,173.52,175.81,171.72,172.07,169.49,10236348,-1.594,2800,29.5,0.55,1.12,44.38,0.294,78,BUY
2023-01-05,AMZN,Amazon.com Inc.,Consumer Discretionary,146.58,147.37,140.68,141.65,139.53,3811801,-3.247,1850,42.0,0.0,0.95,51.26,0.554,65,HOLD
2023-01-05,BAC,Bank of America Corp.,Financials,30.36,31.37,30.17,31.02,30.56,5807061,1.897,270,10.4,2.9,0.95,35.2,1.0,69,BUY
2023-01-05,JNJ,Johnson & Johnson,Healthcare,164.72,164.92,161.99,163.05,160.6,6057697,-0.928,410,15.6,3.1,1.05,26.24,0.438,82,BUY
2023-01-05,JPM,JPMorgan Chase & Co.,Financials,159.08,160.36,157.65,160.05,157.65,4721412,0.793,540,11.8,2.45,0.94,82.58,0.4,71,SELL
2023-01-05,MSFT,Microsoft Corp.,Technology,345.11,349.34,334.31,337.6,332.54,3701179,-1.896,2600,33.2,0.72,1.05,54.08,0.818,85,HOLD
2023-01-05,NVDA,NVIDIA Corp.,Technology,469.61,470.9,445.57,449.55,442.81,5885418,-3.454,2100,65.4,0.08,0.96,60.36,0.389,74,HOLD
2023-01-05,PFE,Pfizer Inc.,Healthcare,29.84,29.93,29.08,29.34,28.9,5557688,-2.192,170,14.1,5.4,0.81,53.2,0.537,80,HOLD
